Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-02-08,Badlands,1973,https://boxd.it/YKg5N,3.5,,,2020-02-06
2020-02-15,La La Land,2016,https://boxd.it/Zo3dT,5,Yes,,2020-02-14
2020-03-09,Princess Mononoke,1997,https://boxd.it/11kMMp,4,Yes,,2020-03-08
2020-03-14,The Tale of the Princess Kaguya,2013,https://boxd.it/11FwYB,3.5,,,2020-03-13
2020-03-15,Ponyo,2008,https://boxd.it/11L6BD,3.5,,,2020-03-15
2020-03-16,The Wind Rises,2013,https://boxd.it/11SoUH,4,,,2020-03-16
2020-03-17,Whisper of the Heart,1995,https://boxd.it/11XSZn,4,,,2020-03-17
2020-03-18,Airplane!,1980,https://boxd.it/122tIL,4,,,2020-03-17
2020-03-19,From Up on Poppy Hill,2011,https://boxd.it/128CGh,3.5,,,2020-03-19
2020-03-20,Spirited Away,2001,https://boxd.it/12exgb,4,,,2020-03-19
2020-03-21,Good Time,2017,https://boxd.it/12knnX,3.5,,,2020-03-20
2020-03-22,A Hidden Life,2019,https://boxd.it/12s9Cl,4,,,2020-03-22
2020-03-27,Howl's Moving Castle,2004,https://boxd.it/1311Fr,4,Yes,,2020-03-27
2020-03-30,The Death of Stalin,2017,https://boxd.it/13oGTF,3.5,,,2020-03-30
2020-03-31,"I, Tonya",2017,https://boxd.it/13wygr,4,,,2020-03-31
2020-04-07,You Were Never Really Here,2017,https://boxd.it/14mSDp,3.5,,,2020-04-06
2020-04-08,At Eternity's Gate,2018,https://boxd.it/14u63J,3.5,,,2020-04-08
2020-04-09,The Little Mermaid,1989,https://boxd.it/14ACv3,3.5,,,2020-04-08
2020-04-10,Bambi,1942,https://boxd.it/14Hcr9,4,,,2020-04-09
2020-04-11,Cinderella,1950,https://boxd.it/14QMlf,3.5,,,2020-04-11
2020-04-13,Pinocchio,1940,https://boxd.it/158hXt,3,,,2020-04-13
